rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9781501160837	Atria	A failed bank robber holds a group of strangers hostage at an apartment open house.	0.00	ANXIOUS PEOPLE	Fredrik Backman	by Fredrik Backman	https://storage.googleapis.com/du-prd/books/images/9781501160837.jpg	332	500	https://www.amazon.com/dp/1501160834?tag=thenewyorktim-20			nyt://book/3981eb6a-8937-5dcb-848b-a3904bf779a2
2	0	9781250207234	St. Martin's	The 51st book of the In Death series. A hitman with possible connections to Eve Dallas’s husband is seen near the scene of a crime.	0.00	SHADOWS IN DEATH	J.D. Robb	by J.D. Robb	https://storage.googleapis.com/du-prd/books/images/9781250207234.jpg	329	500	https://www.amazon.com/dp/1250207231?tag=thenewyorktim-20			nyt://book/dc417982-e5c4-54de-b9b0-23de9904f5c2
3	0	9781501188817	Gallery/Scout	An avalanche tests the bonds of coworkers from a London-based tech startup on a corporate retreat in the French Alps.	0.00	ONE BY ONE	Ruth Ware	by Ruth Ware	https://storage.googleapis.com/du-prd/books/images/9781501188817.jpg	331	500	https://www.amazon.com/dp/150118881X?tag=thenewyorktim-20			nyt://book/603b3844-b7e7-5f0b-b32c-0d760002f659
4	1	9781250145239	Minotaur	The 16th book in the Chief Inspector Gamache series. When his billionaire godfather is attacked, Gamache uncovers secrets hidden throughout Paris.	0.00	ALL THE DEVILS ARE HERE	Louise Penny	by Louise Penny	https://storage.googleapis.com/du-prd/books/images/9781250145239.jpg	330	500	https://www.amazon.com/dp/1250145236?tag=thenewyorktim-20			nyt://book/90d4cf12-96bd-56a2-b629-dac2b46de117
5	4	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
6	3	9780525658184	Knopf	A Ph.D. candidate in neuroscience looks to the hard sciences and her childhood faith to potentially help her grieving Ghanaian immigrant family.	0.00	TRANSCENDENT KINGDOM	Yaa Gyasi	by Yaa Gyasi	https://storage.googleapis.com/du-prd/books/images/9780525658184.jpg	304	500	https://www.amazon.com/dp/0525658181?tag=thenewyorktim-20			nyt://book/73288c1d-81b5-5ab8-9185-052659ebc7a9
7	5	9781629998916	FrontLine	Nouriel, Ana Goren and a figure known as "the prophet" return as revelations are unlocked.	0.00	THE HARBINGER II	Jonathan Cahn	by Jonathan Cahn	https://storage.googleapis.com/du-prd/books/images/9781629998916.jpg	338	500	https://www.amazon.com/dp/1629998915?tag=thenewyorktim-20			nyt://book/24d1edc5-ba8f-5acb-afa5-20e2c6faa328
8	6	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
9	2	9781609455910	Europa Editions	In this coming-of-age story, Giovanna seeks her true reflection in two kindred cities.	0.00	THE LYING LIFE OF ADULTS	Elena Ferrante	by Elena Ferrante	https://storage.googleapis.com/du-prd/books/images/9781609455910.jpg	344	500	https://www.amazon.com/dp/1609455916?tag=thenewyorktim-20			nyt://book/69cbf228-6119-58e0-9e1d-e7e650dc746f
10	7	9781524733452	Knopf	A dead dowager, hungry pythons and occupants of the winter White House shake up the Palm Beach charity ball season.	0.00	SQUEEZE ME	Carl Hiaasen	by Carl Hiaasen	https://storage.googleapis.com/du-prd/books/images/9781524733452.jpg	342	500	https://www.amazon.com/dp/1524733458?tag=thenewyorktim-20			nyt://book/b2718b28-1f8c-50d5-a02f-cb20c88c093d
