rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	1	9781250209764	Flatiron	A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.	0.00	AMERICAN DIRT	Jeanine Cummins	by Jeanine Cummins	https://storage.googleapis.com/du-prd/books/images/9781250209764.jpg	326	495	https://www.amazon.com/American-Dirt-Oprahs-Book-Club/dp/1250209765?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/17/books/review-american-dirt-jeanine-cummins.html	nyt://book/ea1c7a1f-1743-57a8-b210-0150f87a4b47
2	2	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
3	0	9781524745004	Dutton	D.D. Warren and Flora Dane join the F.B.I. agent Kimberly Quincy’s taskforce.	0.00	WHEN YOU SEE ME	Lisa Gardner	by Lisa Gardner	https://storage.googleapis.com/du-prd/books/images/9781524745011.jpg	328	495	https://www.amazon.com/When-You-See-Me-Detective-ebook/dp/B07RTTDCBR?tag=thenewyorktim-20			nyt://book/038531ee-e35f-5033-907b-b0bc39adc8aa
4	3	9780316420327	Little, Brown	The new head of an F.B.I. task force takes on a crime syndicate run by a pair of Russian nationals.	0.00	LOST	James Patterson and James O. Born	by James Patterson and James O. Born	https://storage.googleapis.com/du-prd/books/images/9780316493987.jpg	320	495	https://www.amazon.com/Lost-James-Patterson-ebook/dp/B07Y82FGFQ?tag=thenewyorktim-20			nyt://book/131ee1f1-e1c4-506b-99ce-1c48a90ef492
5	5	9781984854780	Dial	A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.	0.00	DEAR EDWARD	Ann Napolitano	by Ann Napolitano	https://storage.googleapis.com/du-prd/books/images/9781984854780.jpg	327	495	https://www.amazon.com/Dear-Edward-Novel-Ann-Napolitano/dp/198485478X?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/06/books/review/dear-edward-ann-napolitano.html	nyt://book/46e20779-6923-51b3-8e8f-24a57a800637
6	6	9781250301697	Celadon	Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.	0.00	THE SILENT PATIENT	Alex Michaelides	by Alex Michaelides	https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg	326	495	https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=thenewyorktim-20			nyt://book/fe8f9863-f798-55c5-acdf-ceb32b5484ce
7	4	9780525541905	Putnam	Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.	0.00	SUCH A FUN AGE	Kiley Reid	by Kiley Reid	https://storage.googleapis.com/du-prd/books/images/9780525541905.jpg	328	495	https://www.amazon.com/Such-Fun-Age-Kiley-Reid/dp/052554190X?tag=thenewyorktim-20		https://www.nytimes.com/2019/12/31/books/review/such-a-fun-age-kiley-reid.html	nyt://book/f2ec30bb-ddd2-5f4a-a17c-34c574bf1bf7
8	9	9780062963673	Harper	A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.	0.00	THE DUTCH HOUSE	Ann Patchett	by Ann Patchett	https://storage.googleapis.com/du-prd/books/images/9780062963673.jpg	328	495	https://www.amazon.com/Dutch-House-Novel-Ann-Patchett/dp/0062963678?tag=thenewyorktim-20		https://www.nytimes.com/2019/09/21/books/review-dutch-house-ann-patchett.html	nyt://book/0ad5db6c-4d15-5624-bef3-1385f93f78e2
9	8	9781984820150	Ballantine	A young pregnant widow and an Army doctor take a ship to Chile to escape the aftermath of the Spanish Civil War.	0.00	A LONG PETAL OF THE SEA	Isabel Allende	by Isabel Allende	https://storage.googleapis.com/du-prd/books/images/9781984820150.jpg	326	495	https://www.amazon.com/Long-Petal-Sea-Novel/dp/198482015X?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/20/books/review/a-long-petal-of-the-sea-isabel-allende.html	nyt://book/1080e6e1-dc72-5aaa-a0f0-c588c490dde7
10	7	9780385544184	Doubleday	Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case.	0.00	THE GUARDIANS	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385544184.jpg	330	481	https://www.amazon.com/Guardians-Novel-John-Grisham/dp/0385544189?tag=thenewyorktim-20			nyt://book/34587156-73ec-5121-946b-482b51beaf6c
