rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	1	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
2	0	9781250207104	St. Martin's	A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood.	0.00	HIDEAWAY	Nora Roberts	by Nora Roberts	https://storage.googleapis.com/du-prd/books/images/9781250207104.jpg	329	500	https://www.amazon.com/dp/125020710X?tag=thenewyorktim-20			nyt://book/73589940-928c-53a0-905f-59a473a5ca4e
3	0	9780316539425	Little, Brown	The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.	0.00	FAIR WARNING	Michael Connelly	by Michael Connelly	https://storage.googleapis.com/du-prd/books/images/9780316539425.jpg	322	500	https://www.amazon.com/dp/0316539422?tag=thenewyorktim-20			nyt://book/c959a16e-114a-5d98-af1c-7bd5a0ce5878
4	2	9780385545938	Doubleday	The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.	0.00	CAMINO WINDS	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545938.jpg	329	500	https://www.amazon.com/dp/0385545932?tag=thenewyorktim-20			nyt://book/91803cda-e698-5a30-a5cf-df1a16665394
5	3	9781982137977	Scribner	Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”	0.00	IF IT BLEEDS	Stephen King	by Stephen King	https://storage.googleapis.com/du-prd/books/images/9781982137977.jpg	329	500	https://www.amazon.com/dp/1982137975?tag=thenewyorktim-20			nyt://book/ad212b13-e446-5daf-b5d9-41bef7402b4a
6	5	9781501133510	Atria	Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.	0.00	BIG SUMMER	Jennifer Weiner	by Jennifer Weiner	https://storage.googleapis.com/du-prd/books/images/9781501133510.jpg	331	500	https://www.amazon.com/dp/1501133519?tag=thenewyorktim-20			nyt://book/71a12b08-95ae-5898-8855-5f1fb1b31ace
7	7	9781250209764	Flatiron	A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.	0.00	AMERICAN DIRT	Jeanine Cummins	by Jeanine Cummins	https://storage.googleapis.com/du-prd/books/images/9781250209764.jpg	326	495	https://www.amazon.com/American-Dirt-Oprahs-Book-Club/dp/1250209765?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/17/books/review-american-dirt-jeanine-cummins.html	nyt://book/ea1c7a1f-1743-57a8-b210-0150f87a4b47
8	4	9781538761465	Grand Central	The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.	0.00	WALK THE WIRE	David Baldacci	by David Baldacci	https://storage.googleapis.com/du-prd/books/images/9781538761465.jpg	331	500	https://www.amazon.com/dp/1538761467?tag=thenewyorktim-20			nyt://book/2a73eed3-9d66-53bb-8362-3f0a6bf5b03e
9	10	9781594634697	Riverhead	A repressed memory triggers Astrid Strick to weigh the outcomes of her parenting of her now-grown children.	0.00	ALL ADULTS HERE	Emma Straub	by Emma Straub	https://storage.googleapis.com/du-prd/books/images/9781594634697.jpg	331	500	https://www.amazon.com/dp/1594634696?tag=thenewyorktim-20			nyt://book/818e0615-32ee-5ff7-ac3c-f2086b16445d
10	6	9780316420280	Little, Brown	The 20th book in the Women’s Murder Club series. Lindsay Boxer looks into the murders of disreputable persons in three separate cities.	0.00	THE 20TH VICTIM	James Patterson and Maxine Paetro	by James Patterson and Maxine Paetro	https://storage.googleapis.com/du-prd/books/images/9780316420280.jpg	322	500	https://www.amazon.com/dp/031642028X?tag=thenewyorktim-20			nyt://book/9f364da7-ef44-5e57-906f-0f4062bc0066
11	12	9781250301697	Celadon	Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.	0.00	THE SILENT PATIENT	Alex Michaelides	by Alex Michaelides	https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg	326	495	https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=thenewyorktim-20			nyt://book/fe8f9863-f798-55c5-acdf-ceb32b5484ce
12	15	9780399562488	Pamela Dorman/Viking	In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books.	0.00	THE GIVER OF STARS	Jojo Moyes	by Jojo Moyes	https://storage.googleapis.com/du-prd/books/images/9780399562501.jpg	328	495	https://www.amazon.com/Giver-Stars-Novel-Jojo-Moyes/dp/0399562486?tag=thenewyorktim-20			nyt://book/0365e66e-8090-5ec1-8d8c-2ed89027d374
13	11	9780525429760	Viking	A scholarly young woman named Ana meets an 18-year-old Jesus and becomes caught up in a confluence of dangers.	0.00	THE BOOK OF LONGINGS	Sue Monk Kidd	by Sue Monk Kidd	https://storage.googleapis.com/du-prd/books/images/9780525429760.jpg	330	500	https://www.amazon.com/dp/052542976X?tag=thenewyorktim-20			nyt://book/f2abe3c0-5cb5-570d-be6c-be3ffedd2577
14	0	9780593087886	Putnam	The 12th book in the Sam and Remi Fargo Adventure series. A kingpin is released from prison and a final showdown takes place in Greece.	0.00	WRATH OF POSEIDON	Clive Cussler and Robin Burcell	by Clive Cussler and Robin Burcell	https://storage.googleapis.com/du-prd/books/images/9780593087886.jpg	339	500	https://www.amazon.com/dp/0593087887?tag=thenewyorktim-20			nyt://book/3cd74afe-defb-5877-aa3a-fea31d20ed97
15	9	9781538748138	Grand Central	An 85-year-old defense lawyer puts off his retirement to aid a Nobel Prize winner in Medicine, who is accused of insider trading, fraud and murder.	0.00	THE LAST TRIAL	Scott Turow	by Scott Turow	https://storage.googleapis.com/du-prd/books/images/9781538748138.jpg	331	500	https://www.amazon.com/dp/1538748134?tag=thenewyorktim-20			nyt://book/68912d7b-2e00-5c00-a74e-1ab6293c38a6
